action	view	status	input_path	render_path	visual_validation
attack_axe	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_axe_critical	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_axe_critical_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_axe_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_mace	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_mace_critical	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_mace_critical_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_mace_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_mace_smash	third_person	asset_only	none	none	pending
attack_mace_smash_left	third_person	asset_only	none	none	pending
attack_spear	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_spear_critical	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_spear_critical_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_spear_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_stab	third_person	wired_not_playtested	STAB hand swing -> VanillaActionSampler.sample	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_stab_left	third_person	wired_not_playtested	STAB hand swing -> VanillaActionSampler.sample	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_swing	third_person	asset_only	none	none	pending
attack_swing_left	third_person	asset_only	none	none	pending
attack_sword	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_sword_critical	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_sword_critical_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_sword_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_sword_sweep	third_person	asset_only	none	none	pending
attack_sword_sweep_left	third_person	asset_only	none	none	pending
attack_tool	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_tool_critical	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_tool_critical_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_tool_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_trident	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_trident_critical	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_trident_critical_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_trident_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_unarmed	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_unarmed_critical	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_unarmed_critical_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
attack_unarmed_left	third_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_air_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_air_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_air_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_air_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_charge	third_person	asset_only	none	none	pending
combat_axe_charge_left	third_person	asset_only	none	none	pending
